nm, A
350,0.752873
349,0.737587
348,0.722525
347,0.708426
346,0.696347
345,0.680725
344,0.664022
343,0.647057
342,0.627094
341,0.608898
340,0.588682
339,0.568861
338,0.555239
337,0.548336
336,0.536851
335,0.525828
334,0.517414
333,0.508258
332,0.502553
331,0.493676
330,0.485112
329,0.471986
328,0.460784
327,0.448713
326,0.437037
325,0.429332
324,0.424022
323,0.420242
322,0.420843
321,0.424759
320,0.431326
319,0.438888
318,0.450709
317,0.46583
316,0.483474
315,0.504833
314,0.529548
313,0.558283
312,0.589031
311,0.621976
310,0.653705
309,0.683216
308,0.708387
307,0.726951
306,0.741211
305,0.750763
304,0.759797
303,0.766832
302,0.774665
301,0.783589
300,0.789595
299,0.796165
298,0.801883
297,0.802917
296,0.80165
295,0.79924
294,0.792495
293,0.785542
292,0.777554
291,0.765433
290,0.7533
289,0.739766
288,0.724947
287,0.708652
286,0.688406
285,0.66863
284,0.646284
283,0.624036
282,0.603631
281,0.582173
280,0.563595
279,0.545077
278,0.525933
277,0.508092
276,0.490131
275,0.475492
274,0.461036
273,0.449224
272,0.442097
271,0.438341
270,0.439881
269,0.444603
268,0.453583
267,0.463676
266,0.47526
265,0.486737
264,0.499836
263,0.517407
262,0.542456
261,0.582404
260,0.644578
259,0.72884
258,0.836151
257,0.959585
256,1.081067
255,1.18169
254,1.2451
253,1.273781
252,1.276544
251,1.267369
250,1.246201
