nm, A
392,0.489565
391,0.488567
390,0.48751
389,0.486077
388,0.484574
387,0.482901
386,0.480717
385,0.478903
384,0.477713
383,0.476152
382,0.476552
381,0.478689
380,0.482407
379,0.488678
378,0.498935
377,0.513333
376,0.528067
375,0.544432
374,0.562555
373,0.580436
372,0.598593
371,0.615434
370,0.632875
369,0.649753
368,0.659282
367,0.666074
366,0.673097
365,0.676933
364,0.679645
363,0.680216
362,0.677854
361,0.673203
360,0.667774
359,0.664452
358,0.660388
357,0.655033
356,0.649456
355,0.645985
354,0.642817
353,0.639085
352,0.634204
351,0.630582
350,0.628009
349,0.626084
348,0.625241
347,0.624695
346,0.627594
345,0.629382
344,0.63287
343,0.639021
342,0.641046
341,0.644134
340,0.650224
339,0.653989
338,0.654361
337,0.65953
336,0.661692
335,0.662892
334,0.661754
333,0.655379
332,0.649036
331,0.635425
330,0.621744
329,0.607834
328,0.592902
327,0.578963
326,0.564652
325,0.552309
324,0.541863
323,0.533759
322,0.528553
321,0.522145
320,0.515414
319,0.514448
318,0.511845
317,0.507488
316,0.504747
315,0.503196
314,0.501894
313,0.500241
312,0.499098
311,0.497619
310,0.494927
309,0.492807
308,0.489545
307,0.48698
306,0.48303
305,0.480217
304,0.47834
303,0.474508
302,0.470109
301,0.464927
300,0.458066
299,0.453688
298,0.44819
297,0.441518
296,0.437539
295,0.435941
294,0.433915
293,0.432756
292,0.434435
291,0.436432
290,0.439303
289,0.442034
288,0.444462
287,0.447959
286,0.451078
285,0.454775
284,0.459705
283,0.463835
282,0.468754
281,0.474934
280,0.48064
279,0.488751
278,0.497508
277,0.506088
276,0.513754
275,0.520853
274,0.525126
273,0.526655
272,0.522976
271,0.515968
270,0.505983
269,0.494256
268,0.482612
267,0.471517
266,0.460068
265,0.447891
264,0.436787
263,0.425889
262,0.41769
261,0.409725
260,0.405928
259,0.406209
258,0.41073
257,0.421229
256,0.43676
255,0.458519
254,0.486013
253,0.519195
252,0.559
251,0.599495
250,0.6412
